Product_ID,Product_Name,Supply,Price
1,white hanging heart t-light holder,92,2.55
2,white metal lantern,67,3.39
3,cream cupid hearts coat hanger,120,2.75
4,knitted union flag hot water bottle,90,3.39
5,cream cheese bar,36,3.39
6,set 7 babushka nesting boxes,122,7.65
7,glass star frosted t-light holder,23,4.25
8,philadelphia cream cheese,10,3.49
9,raspberries,34,4.09
10,hot dogs skinless,32,6.39
11,blueberries,222,5.79
12,cream cheese family pack,92,5.19
13,blackberries,88,4.09
14,ivory knitted mug cosy,62,1.65
15,box of 6 assorted colour teaspoons,230,4.25
16,fuji apples,99,1.15
17,gala apples,80,1.15
18,jumbo blueberries,98,8.09
19,organic blueberries family pack,84,11.49
20,old orchard joice grape,93,3.49
21,organic valley cream cheese spread,156,4.59
22,jam making set with jars,87,4.25
23,red coat rack paris fashion,140,4.95
24,yellow coat rack paris fashion,89,4.95
25,blue coat rack paris fashion,76,4.95
26,bananas each,23,0.15
27,alarm clock bakelike pink,24,3.75
28,alarm clock bakelike red,24,3.75
29,alarm clock bakelike green,12,3.75
30,juice apple with calcium,12,2.29
31,stars gift tape,24,0.65
32,organic bagged gala apples family pack,92,7.49
33,classic hot dogs,56,4.57
34,set/2 red retrospot tea towels,190,2.95
35,bone-in country style pork ribs,89,8.18
36,turkey pepperoni,34,3.49
37,lunch box i love london,34,1.95
38,circus parade lunch box,24,1.95
39,perfect portion strip steak,176,10.91
40,stew beef,221,10.79
41,mcintosh apple,24,0.92
42,baked donuts,91,1.98
43,100% juice orange,45,3.29
44,bulk bagels,145,1.39
45,mini paint set vintage,36,0.65
46,turkey hot dogs,23,4.5
47,paper chain kit 50's christmas,80,2.55
48,hand warmer red polka dot,43,1.85
49,hand warmer union jack,23,2.3
50,boneless pork chop thin sliced,45,7.82
51,white metal lantern,13,3.39
52,pork tenderloin,23,6.14
53,chicken breast cutlets,167,29.76
54,retro coffee mugs assorted,32,1.06
55,save the planet mug,12,1.06
56,vintage billboard drink me mug,34,1.06
57,vintage billboard love/hate mug,19,1.06
58,rib eye steak,65,17.29
59,muffins chocolate cip,126,6.95
60,muffins original,81,4.09
61,perfect portion sirloin steak,57,13.56
62,knitted union flag hot water bottle,23,3.39
63,wheatgrass shots organic,33,11.49
64,organic extra large eggs,211,8.49
65,german brand beef frank,120,4.25
66,smoothie berry,32,3.29
67,classic beef franks,98,5.19
68,organic chocolate chip,142,6.29
69,cookies dough,145,3.69
70,sugar cookie,167,3.69
71,chocolate chip,90,3.89
72,save the planet mug,23,1.06
73,best pepperoni,97,5.61
74,homestyle pudding,89,2.89
75,chicken wings family pack,23,18.44
76,soft bagel,78,4.09
77,rice pudding cinnamon raisin,35,4.09
78,pudding organic vanilla bean,58,2.55
79,organic raised grade a large eggs,120,7.89
80,large eggs 18 count,29,4.39
81,large eggs 36 count,178,6.89
82,glass star frosted t-light holder,24,4.25
83,hot water bottle tea and sympathy,48,3.45
84,mild blue cheese,64,7.8
85,muffins original sandwich size,120,4.09
86,hand warmer union jack,62,1.85
87,jumbo bag pink polkadot,88,1.95
88,jumbo bag baroque black white,10,1.95
89,jumbo bag charlie and lola toys,22,2.95
90,organic boneless skinless chicken,33,18.86
91,6 pack blueberry begels,12,8.29
92,bone-in chicken thighs,87,7.02
93,baked dozen donuts,12,12.9
94,lunch bag red retrospot,10,1.65
95,strawberry lunch box with cutlery,6,2.55
96,top round steak,120,11.84
97,pack of 72 retrospot cake cases,123,0.42
98,pack of 60 dinosaur cake cases,24,0.55
99,pack of 60 pink paisley cake cases,24,0.55
100,smoothie strawberry,78,3.49
